pres12,vote12,age,race,degree,sei10,rincom06,partyid,sex
2,1,70,1,1,29.5,13,1,2
.n,.n,29,3,3,87.90000000000001,.a,3,2
1,1,69,1,1,67.7,.i,3,1
1,1,61,1,2,52,19,1,2
2,1,62,1,2,38.8,.a,5,2
1,1,21,1,1,38.8,11,0,2
1,1,41,1,1,38.8,18,0,1
1,1,35,1,4,63.7,19,1,1
1,1,67,2,1,24.2,.i,0,2
1,1,76,2,0,43.9,.i,0,2
.i,2,30,1,1,20.7,6,6,1
1,1,55,2,1,25.7,.i,0,2
1,1,63,2,1,23.8,.i,0,2
1,1,26,2,2,41.1,9,2,2
1,1,49,2,0,24.2,4,0,2
.i,2,32,2,1,13.6,1,6,1
1,1,42,1,3,19.6,1,0,2
.i,2,50,1,1,44.9,.i,1,2
.i,2,48,1,0,21.8,.i,3,2
2,1,76,1,1,23.8,.i,6,2
2,1,53,1,1,73.90000000000001,21,5,1
.i,2,31,1,1,26.9,.i,6,2
1,1,37,2,3,52,20,2,2
1,1,46,2,1,24.2,19,0,2
3,1,40,1,4,80.7,17,2,2
1,1,25,2,1,20.8,10,1,2
.i,2,61,3,1,32,20,5,1
1,1,50,1,1,65.3,3,0,2
3,1,51,3,1,32,22,3,1
.n,1,57,1,1,45.4,19,2,1
1,1,79,2,2,24.2,12,2,2
1,1,31,2,1,17.1,6,1,2
1,1,24,2,1,39.2,10,3,2
1,1,61,2,1,52,11,2,2
1,1,62,2,1,38.3,16,1,2
1,1,64,2,3,59.8,.i,3,2
1,1,54,2,1,23.7,18,1,1
.i,2,24,1,1,43,13,3,2
.i,2,79,1,0,14,.i,3,1
1,1,33,2,1,33.4,.i,2,2
1,1,27,2,1,13.6,6,1,2
3,1,36,1,3,52.3,18,4,1
.i,3,19,2,1,39.7,.i,3,1
.n,1,59,1,1,56.8,20,3,2
2,1,63,1,1,41,.i,4,1
.n,1,41,1,1,61.2,5,5,1
4,1,36,1,3,85.8,.a,.n,2
1,1,36,2,4,69.3,21,0,2
.i,2,40,1,1,20.7,17,3,1
.i,2,33,2,0,43,11,3,1
1,1,32,1,1,23.7,.i,0,2
.i,2,47,1,1,24.6,.i,3,2
2,1,39,1,1,.i,.a,6,1
.i,2,25,3,1,57.4,.i,1,1
.i,2,20,1,1,38.8,.i,1,2
3,1,32,3,1,37.6,20,1,2
.i,2,32,1,1,18.9,18,2,1
.i,3,46,3,1,.i,.i,3,2
.i,2,57,1,1,22.1,15,1,1
.i,2,60,1,1,32,18,3,1
.i,2,59,1,0,12.6,16,3,2
2,1,47,1,4,80.90000000000001,11,5,2
2,1,57,1,2,62.7,19,6,2
2,1,67,1,4,91.09999999999999,.i,5,2
1,1,65,1,4,71.59999999999999,25,1,1
2,1,61,1,3,76.3,1,5,2
.i,2,36,1,1,14.8,.i,4,2
3,1,37,1,1,76.3,.i,7,2
2,1,80,1,1,46.6,.i,6,1
.i,2,26,1,1,43,14,3,2
2,1,33,1,3,59.1,19,6,2
2,1,27,1,3,83.8,21,6,1
.i,2,34,1,3,53.8,20,3,2
2,1,50,1,2,84.2,.i,3,2
2,1,58,1,2,61.5,.i,4,2
1,1,39,2,4,59.1,20,0,1
.i,2,70,2,1,35.8,.i,0,2
.i,2,24,2,1,14,9,1,2
.i,2,40,2,1,19.6,14,1,2
2,1,48,1,2,59.9,20,6,1
.i,2,58,1,0,14,3,2,1
1,1,57,1,1,38.8,18,2,1
2,1,76,1,0,25,.i,6,1
2,1,53,1,1,54.3,19,6,1
.i,2,30,1,2,14,2,5,2
.i,3,64,1,0,12.6,.a,2,2
.i,2,59,1,1,28.5,.i,7,2
.i,2,88,1,1,38.3,.i,5,2
1,1,61,2,3,81,21,0,1
1,1,50,3,3,21.6,8,2,1
1,1,76,3,4,87.90000000000001,.i,2,1
.i,3,27,1,0,.i,.i,3,2
1,1,27,2,1,12.6,8,0,2
.i,2,21,2,1,21.6,9,0,1
1,1,29,2,3,57.4,19,0,2
1,1,59,2,0,62.1,.i,7,2
1,1,32,2,1,52.3,3,0,1
.i,3,37,3,0,21.6,15,3,1
.i,3,37,1,2,52.3,14,1,1
.i,2,40,1,3,76.3,.i,0,1
2,1,51,1,2,70.5,.i,5,2
.i,3,26,1,1,19.6,.i,1,2
2,1,71,1,3,89.90000000000001,20,5,1
1,1,53,2,3,38.3,19,0,2
1,1,45,1,1,50.1,16,3,1
2,1,53,1,3,68.59999999999999,24,5,1
1,1,22,2,1,19.6,3,1,2
1,1,58,2,4,73.90000000000001,23,0,2
2,1,50,1,3,69.3,24,6,1
1,1,52,1,0,68.59999999999999,.i,5,2
2,1,48,1,1,37.6,16,6,2
.i,2,62,1,1,27,.a,3,2
2,1,26,1,1,28.6,17,5,2
1,1,59,1,1,21.8,2,2,2
2,1,64,1,1,38.1,.i,5,2
1,1,38,2,3,80.90000000000001,19,0,2
1,1,52,2,0,21.8,4,0,2
1,1,28,2,1,21.6,.i,6,2
1,1,73,2,4,80.90000000000001,20,1,2
.i,2,29,1,1,59.1,.i,3,1
1,1,32,2,2,52,16,0,2
1,1,79,2,0,12.6,.i,0,2
2,1,48,1,3,84.2,20,4,2
.i,3,53,1,1,31.6,10,2,1
.i,2,45,1,0,33.9,11,3,1
1,1,43,1,1,13.6,.i,1,2
1,1,32,1,4,82.5,13,6,2
.i,2,25,2,1,34.7,.i,1,2
1,1,79,2,0,28.7,.i,1,1
1,1,55,2,1,33.2,.i,0,1
1,1,39,2,1,52,17,0,2
1,1,78,2,1,33.2,.i,0,1
1,1,54,2,1,50.4,18,0,1
.i,3,20,2,1,20.7,3,2,1
.i,2,72,1,0,61.4,.i,6,2
.i,2,50,1,0,24.2,14,3,2
1,1,79,1,1,52.4,.i,0,1
1,1,89,1,1,76.3,.i,1,2
.i,2,75,3,1,34.8,.i,3,2
.i,2,53,1,1,15.8,10,3,2
.i,3,47,1,1,32,16,1,1
1,1,75,2,1,25.7,19,0,1
.i,2,48,1,1,.i,.i,1,2
1,1,63,2,3,80.90000000000001,10,1,2
2,1,43,1,4,43,20,4,1
.i,2,31,1,4,35.8,4,0,1
.i,2,40,1,4,61.9,22,1,1
2,1,74,1,4,37.8,17,4,1
1,1,48,1,3,21.8,.i,3,2
1,1,68,1,1,68.59999999999999,.i,2,2
1,1,89,1,1,56.9,.i,0,2
.i,2,24,2,2,24.2,4,1,2
.i,3,40,3,1,25.2,12,1,1
.i,2,28,1,1,13.6,.i,1,1
.i,3,18,2,1,.i,.i,1,2
.i,3,33,1,1,27,16,5,1
2,1,42,1,1,31,25,5,1
.i,2,35,3,0,14,13,3,1
2,1,30,1,1,43.8,.i,3,2
2,1,56,3,1,67.7,.a,4,1
.n,1,40,1,4,92.2,.a,3,2
4,1,60,1,4,84.5,18,3,2
.i,2,40,1,1,.i,.i,1,2
1,1,35,1,4,77.40000000000001,24,0,1
1,1,66,2,1,37.6,1,2,1
1,1,58,2,1,31.6,.i,0,2
1,1,49,2,1,39.2,19,5,1
1,1,59,2,3,46,4,.n,1
1,1,30,2,1,19.6,5,0,2
1,1,63,2,1,37.6,.i,0,1
1,1,73,2,0,24.6,.i,0,1
1,1,56,2,0,26.1,.i,1,2
.i,2,26,2,1,10.6,5,5,1
.n,1,26,2,1,37.8,17,0,2
.i,2,20,1,1,23.8,.i,3,1
4,1,51,1,1,29.5,16,4,2
.d,1,39,1,1,24,8,2,1
1,1,58,1,1,78.3,19,1,2
2,1,86,1,1,38.3,.i,6,2
1,1,57,1,1,54.6,21,1,2
1,1,47,1,3,39.7,25,0,1
2,1,53,1,4,25,23,6,1
2,1,37,1,3,62,22,5,1
2,1,25,1,3,.i,.i,5,2
.i,2,54,3,0,24.6,17,2,1
1,1,64,1,0,20.7,.i,0,1
1,1,37,2,2,26.1,.i,0,2
2,1,63,1,1,81.59999999999999,.i,6,1
.i,2,22,1,1,14,2,3,1
1,1,30,2,2,39.7,11,2,2
2,1,69,1,1,48.3,.i,4,1
1,1,25,2,1,22.9,13,0,1
.i,2,56,1,1,20.8,10,1,2
1,1,25,2,1,49.4,.i,2,1
1,1,55,1,1,52,17,0,2
.i,2,27,1,1,23.3,6,3,1
2,1,73,1,1,81.59999999999999,.i,5,1
.i,2,53,1,1,33.2,.i,0,2
2,1,25,1,2,24.2,.i,5,2
.i,2,71,1,0,19.6,.i,6,2
.i,2,52,1,0,20.7,9,4,2
1,1,36,1,2,67.7,19,2,2
.i,2,22,1,1,.i,.i,3,2
.i,2,31,1,1,43,15,3,2
1,1,62,1,1,25.1,.i,3,1
1,1,58,1,3,38.3,18,0,1
.i,2,25,1,1,34.7,.i,3,1
1,1,23,2,1,21.6,13,0,2
.i,3,20,3,0,19.7,.i,3,1
1,1,.n,1,4,76.3,.a,2,1
.i,3,19,2,2,24.2,15,7,2
1,1,73,1,1,61.4,.i,2,2
1,1,40,1,3,52,23,1,2
1,1,73,1,3,25.7,.i,0,2
1,1,44,1,1,30,15,2,2
.i,2,54,1,2,56.9,21,2,1
4,1,89,1,1,65.3,.i,4,1
2,1,68,1,4,92,25,7,1
2,1,67,1,3,38.9,16,4,2
1,1,61,3,4,60.2,21,1,2
.i,3,39,3,2,71.8,13,1,2
1,1,39,1,3,38.8,.i,0,2
1,1,35,1,4,57.4,.i,0,2
.i,2,56,1,2,38.3,19,1,2
.i,2,52,1,1,24,2,4,1
1,1,28,1,2,71.7,5,2,2
.i,2,50,1,0,25,.i,3,1
1,1,76,1,0,26.9,.i,2,2
1,1,89,1,3,89.3,.i,1,1
.i,2,29,1,1,28.7,2,2,1
1,1,62,1,0,.i,.i,2,2
.i,2,56,1,1,37.2,.a,0,2
1,1,59,2,1,31.6,.i,0,2
.i,.d,34,3,2,54.6,16,1,2
1,1,29,1,3,37.9,13,2,2
1,1,34,1,3,60.1,19,3,2
1,1,60,1,4,62.9,17,0,2
1,1,29,1,4,26.9,15,0,2
.i,2,31,1,2,35.4,11,1,1
1,1,73,1,1,.i,.a,0,1
1,1,58,1,1,39.7,18,1,1
.i,2,42,1,1,43,18,3,2
.i,2,35,1,3,83.8,19,4,1
1,1,51,3,1,13.6,.i,0,2
1,1,54,3,0,21.8,.i,3,2
1,1,53,1,1,45.4,17,3,1
2,1,52,1,4,82.5,20,4,1
2,1,41,1,1,52.6,22,5,2
2,1,42,1,3,43,23,6,1
3,1,58,1,1,35.8,15,5,1
2,1,38,3,0,69.3,.i,3,2
2,1,40,1,3,80.90000000000001,17,4,2
2,1,31,1,1,53.6,18,7,1
1,1,56,2,1,46.5,19,3,2
1,1,34,1,4,82.5,18,3,1
.i,2,58,1,0,24.6,11,3,2
.i,2,23,1,1,41.1,4,2,2
1,1,51,1,4,57.5,.i,1,2
2,1,53,1,1,61.4,14,7,2
1,1,68,1,0,50.4,.i,0,1
.i,2,71,1,0,24.2,.i,1,2
.i,2,22,2,2,61.2,10,1,2
.i,2,71,1,0,21.6,.i,3,2
2,1,30,1,3,38.8,20,6,2
1,1,60,1,1,39.7,13,1,2
2,1,28,1,1,56.9,18,5,2
2,1,60,1,4,89.90000000000001,22,5,1
2,1,37,1,1,30.3,15,5,1
.i,2,52,2,1,36.2,9,1,1
.i,2,25,1,3,77.40000000000001,19,4,1
.i,3,19,1,1,.i,.a,7,1
2,1,38,1,3,37.2,13,5,2
2,1,41,1,3,87.90000000000001,19,5,2
1,1,43,2,3,52.4,19,1,2
.i,2,34,1,1,20.8,13,5,1
1,1,39,2,1,49.4,18,0,1
.i,2,26,1,1,39.7,13,3,2
2,1,27,1,3,52.6,9,4,2
1,1,34,1,1,28.7,12,3,2
.i,2,34,2,1,20.1,17,3,1
.i,2,38,1,3,52,.i,1,2
2,1,59,1,1,37.2,17,6,2
.i,2,28,3,1,37.6,.i,3,1
.i,2,32,3,1,42.9,18,3,2
.i,.d,24,3,1,.i,.i,3,1
.i,.d,65,3,1,12.6,13,1,2
.i,2,27,3,0,20.7,.i,1,1
1,1,51,3,3,46.6,.i,0,2
.i,2,44,3,0,24.1,3,3,2
1,1,44,3,1,19.7,5,1,1
.i,3,22,2,0,43.9,1,3,1
1,1,25,2,0,12.6,.i,2,2
1,1,38,2,2,60.2,11,0,1
1,1,58,2,1,24.2,16,0,2
2,1,38,1,4,92.8,22,5,2
2,1,53,1,3,87.90000000000001,22,6,1
2,1,42,1,1,80.7,18,6,2
2,1,55,1,3,87.3,20,6,1
.i,2,51,1,3,69.3,21,6,1
1,1,60,1,1,86.5,14,4,1
2,1,54,3,0,50.7,.i,6,2
.i,3,38,1,3,12.6,.i,0,2
2,1,79,1,1,84.2,.i,3,2
2,1,39,1,1,49.4,.i,5,1
1,1,38,1,3,52,16,1,2
1,1,59,1,1,39.9,.i,0,1
1,1,56,1,1,32,21,1,1
.i,2,37,1,1,57.4,17,5,1
2,1,60,1,1,35.8,17,4,2
1,1,32,1,3,83.8,20,3,1
1,1,63,1,1,28.7,.i,1,1
.i,2,53,1,1,65.09999999999999,20,5,1
.i,2,27,1,0,.i,.i,3,2
.i,3,62,1,1,12.6,.i,3,2
1,1,22,1,1,.i,.i,1,2
1,1,24,1,1,20.8,10,1,1
.i,2,23,3,1,.i,.a,1,1
.i,2,51,1,3,67.7,.a,3,2
.i,2,42,3,1,52.1,18,3,1
.i,2,31,1,1,59.4,17,3,1
1,1,78,1,0,13.6,.i,5,2
3,1,36,1,4,81.90000000000001,23,3,2
1,1,64,1,3,38.8,.i,2,1
2,1,76,1,4,80.90000000000001,.i,4,2
.i,2,41,1,2,53.2,22,4,1
1,1,71,1,4,80.90000000000001,.i,1,2
2,1,67,1,3,38.8,.i,6,2
1,1,40,1,4,72.59999999999999,22,1,1
2,1,44,1,1,38.3,.i,5,2
.i,3,43,3,1,43,18,5,1
2,1,59,1,2,46.6,16,3,2
1,1,40,1,1,12.6,16,2,2
1,1,53,1,3,44.6,20,0,1
.i,2,25,1,1,32,.i,1,1
2,1,60,1,3,71.59999999999999,19,5,1
2,1,29,1,1,52,18,6,2
.i,2,30,1,2,39.7,14,0,1
2,1,59,1,1,39.9,1,3,1
.i,2,40,3,1,31.2,11,3,1
1,1,29,1,3,49.6,19,2,1
1,1,70,1,3,73.90000000000001,.i,2,2
.i,2,27,1,0,68.59999999999999,.i,2,2
2,1,78,1,3,84.2,.i,5,2
1,1,48,1,4,78.3,14,5,2
2,1,64,1,3,60.1,7,4,1
2,1,49,1,3,83.8,25,5,2
.n,1,83,1,1,26.5,.i,3,2
1,1,62,1,1,76.3,16,2,2
1,1,42,1,3,76.3,23,2,1
.i,3,84,1,4,81.90000000000001,.i,2,1
.i,3,18,1,1,.i,.i,4,1
1,1,77,1,3,86.8,.i,3,1
.i,3,54,1,1,37.8,6,3,1
2,1,62,1,1,83.8,25,4,1
1,1,56,1,2,59.1,15,2,2
.i,3,50,1,1,59.1,20,2,2
1,1,23,1,3,23.8,3,2,2
2,1,66,1,3,83.40000000000001,22,7,2
1,1,67,1,4,91.09999999999999,.a,7,1
2,1,49,1,1,24,22,6,1
4,1,85,1,0,46,.i,0,1
2,1,68,1,1,37.6,17,7,2
.i,2,63,1,0,28.3,19,2,1
2,1,39,1,3,24.2,5,6,2
.i,2,89,1,1,76.3,.i,5,2
2,1,55,1,3,59.1,21,5,1
.i,2,72,1,2,35.3,.i,4,1
1,1,42,1,1,52,19,2,1
.i,2,89,1,1,38.8,.i,3,2
.i,2,45,1,0,24.8,.i,3,2
1,1,84,1,1,69.3,.i,0,2
2,1,75,1,1,43,4,4,2
1,1,75,2,0,40.4,.i,1,1
.d,1,53,1,1,57.8,15,5,2
.i,2,56,1,2,13.6,10,4,2
.i,2,35,1,1,24.1,19,7,1
1,1,23,2,1,24.2,13,1,2
.i,2,21,1,1,28.3,5,4,1
1,1,22,2,1,34.8,3,5,2
1,1,29,2,1,64.5,15,0,1
.n,1,58,2,1,20.7,10,3,1
1,1,56,1,1,25.2,14,3,1
2,1,33,1,3,38.8,13,3,2
.i,2,72,1,0,43.9,.i,3,2
1,1,66,1,1,38.8,.i,0,2
.i,2,36,1,1,52,14,1,1
.i,2,29,1,1,68.59999999999999,.i,4,2
2,1,25,1,1,14,9,4,1
.i,2,53,3,0,43.9,15,4,1
.i,2,59,1,2,81,.i,2,2
2,1,44,1,1,42.8,21,4,1
1,1,40,2,1,23.3,.a,0,1
1,1,51,2,1,37.6,19,0,2
1,1,66,2,4,69.40000000000001,25,0,2
1,1,40,2,1,19.6,15,0,2
.i,2,41,2,1,37.6,.i,0,2
.i,2,50,1,1,25.7,18,3,2
1,1,50,1,1,71.8,18,0,2
3,1,62,1,1,35.8,.i,3,2
1,1,73,1,1,52.4,.i,0,1
.i,2,41,1,1,24.2,17,0,1
1,1,39,1,1,23.3,13,3,2
.i,2,29,1,0,.i,.a,2,2
2,1,59,1,1,57.5,.i,0,2
2,1,55,1,1,38.3,18,3,1
.i,3,34,3,0,12.6,.a,1,2
.i,3,47,1,4,81.90000000000001,20,3,1
1,1,60,2,4,85.2,25,0,1
.i,2,67,1,1,65.3,.i,5,2
1,1,57,3,3,25.7,2,2,2
.i,2,48,1,4,62.9,20,1,2
1,1,30,1,4,68.59999999999999,20,4,2
1,1,60,1,1,25.2,.i,0,1
3,1,58,1,1,86,17,7,2
2,1,63,1,1,60.3,.i,7,2
1,1,57,1,1,25,9,0,2
1,1,66,1,1,26.1,10,1,2
2,1,87,1,0,14,.i,6,1
2,1,55,1,2,69.3,19,7,2
2,1,54,1,1,75.5,13,6,2
1,1,63,3,1,50.4,.i,5,1
1,1,26,2,1,64.5,3,3,1
2,1,67,1,4,77.40000000000001,.i,6,1
2,1,81,1,1,39.7,.i,4,1
2,1,73,1,4,73.90000000000001,.i,5,1
1,1,78,1,3,80.90000000000001,.i,2,2
2,1,77,1,4,84.5,.i,4,1
.i,2,47,1,2,43,20,4,2
1,1,62,3,4,86.90000000000001,22,0,1
2,1,83,1,4,82.5,.i,4,2
.i,2,41,1,3,86.90000000000001,22,4,2
.i,3,44,1,4,84,24,2,1
2,1,54,1,3,41.1,9,5,2
2,1,57,1,3,37.6,15,7,1
.i,2,26,1,1,13.3,.a,2,1
3,1,60,1,1,44.9,16,3,1
.i,2,30,2,1,23.3,2,3,1
1,1,72,2,3,80.90000000000001,.i,0,2
1,1,68,2,0,43.5,.i,0,1
1,1,46,2,4,32,18,0,1
.i,3,59,3,0,18.6,9,3,1
1,1,77,2,1,26.1,.i,0,2
.i,3,59,2,1,24.2,10,0,2
.n,1,47,2,1,23.8,.a,.n,2
1,1,51,2,1,35.8,24,1,2
.i,2,42,1,2,37.8,19,2,2
2,1,75,1,4,91.09999999999999,.i,6,1
2,1,66,2,1,23.7,.i,6,1
1,1,25,1,3,62.9,2,7,2
.i,2,34,3,0,.i,.i,3,2
.i,2,25,1,2,63.7,15,0,2
.i,3,78,2,1,64.5,.i,0,2
.i,2,21,1,2,22.1,6,5,1
1,1,73,1,3,76.3,.i,0,2
.i,3,29,1,2,.i,.i,3,2
2,1,35,1,1,52,18,3,2
.i,2,31,1,1,32,.i,3,1
2,1,58,1,1,32,.i,6,1
2,1,65,1,1,77.40000000000001,.i,6,1
.i,2,62,1,1,25,15,3,1
1,1,21,1,1,.i,.i,3,1
1,1,59,2,2,57.8,18,0,2
.i,2,21,3,1,21.6,6,3,2
2,1,45,1,1,24.2,14,3,2
.i,2,52,1,3,38.8,6,5,2
2,1,76,1,0,18.6,.i,6,2
.i,2,21,2,1,.i,.i,2,1
.i,2,42,1,2,54.6,16,1,2
1,1,58,2,1,23.8,17,0,2
.i,2,42,1,3,35.8,.i,3,2
2,1,67,1,0,31.2,.i,4,1
.i,3,19,1,1,14.8,8,5,1
2,1,65,1,1,50,.i,2,1
.i,2,36,3,2,52.1,20,3,1
2,1,37,1,1,61.9,21,6,1
1,1,64,1,3,50.4,.a,0,1
2,1,33,1,1,57.8,13,5,2
1,1,30,1,3,80.90000000000001,18,4,2
2,1,50,1,1,52,20,6,2
1,1,89,1,4,80.90000000000001,.i,2,2
2,1,66,1,1,73.90000000000001,20,5,2
2,1,60,1,3,80.2,23,6,1
2,1,52,1,1,20,9,4,1
2,1,33,3,1,69.3,17,2,2
2,1,45,3,1,28.7,20,5,1
.i,2,21,3,1,39.7,3,3,2
3,1,32,1,1,51.5,12,3,2
2,1,78,1,1,30.3,.i,1,1
1,1,41,1,2,73.90000000000001,20,2,1
1,1,59,1,3,60.3,20,0,2
2,1,32,1,1,43,13,6,1
.i,2,44,1,3,45.1,22,5,1
.i,2,27,3,2,68.59999999999999,.i,2,2
.i,2,38,3,1,24.1,15,6,1
1,1,32,3,3,75.59999999999999,5,2,2
1,1,34,3,4,77.2,19,1,1
2,1,64,3,4,62.9,.i,3,1
2,1,26,1,2,24.2,.i,5,2
1,1,39,1,3,52,.i,1,2
.i,3,19,3,1,25.7,.i,4,2
.i,2,47,1,1,43,22,3,1
2,1,39,1,4,62.9,.i,5,2
.i,2,28,1,1,18.6,15,3,1
2,1,39,1,4,84.2,21,4,2
2,1,55,1,3,57.5,20,5,2
2,1,71,1,3,67.7,.a,6,1
1,1,65,2,1,38.2,.i,0,2
1,1,64,1,1,52.4,4,2,1
1,1,33,1,3,61.9,20,5,2
1,1,43,1,1,84.2,20,2,2
1,1,80,1,1,20.5,.i,1,1
1,1,70,1,2,35.1,.i,0,2
1,1,43,2,3,71.59999999999999,19,0,2
1,1,38,2,0,34.7,.i,3,2
1,1,23,1,1,21.6,8,0,2
1,1,71,1,1,43,.i,2,1
1,1,31,2,1,79.59999999999999,14,1,2
1,1,51,2,3,39.7,10,0,1
1,1,38,1,2,43,17,1,1
.i,2,49,1,1,38.3,15,5,2
1,1,50,1,1,44.6,16,1,2
2,1,39,1,3,69.3,.i,6,2
.n,1,80,3,1,59.1,9,3,2
2,1,50,1,1,48.8,20,6,1
.i,2,47,1,3,38.3,18,1,2
.i,2,49,1,1,19.6,.i,.n,2
.i,2,28,1,1,24.2,8,4,2
.i,2,89,1,1,60.4,.i,0,1
.i,2,34,1,1,24.6,16,1,2
1,1,50,2,1,21.8,.i,5,2
.i,2,33,1,1,24.2,10,3,2
2,1,39,1,3,46.6,16,3,2
1,1,56,2,3,56.9,16,2,1
2,1,48,1,4,80.90000000000001,20,6,1
1,1,55,1,1,59.1,25,2,1
.i,2,47,1,1,87.90000000000001,16,7,1
1,1,52,1,1,25,20,4,1
.i,2,22,2,1,29.5,10,4,2
2,1,66,1,4,80.90000000000001,.i,4,2
1,1,20,3,1,.i,.i,4,1
1,1,76,1,3,77.40000000000001,.i,0,1
1,1,27,2,2,38.8,15,0,2
1,1,42,2,0,32,6,0,2
2,1,48,1,0,25.2,14,1,1
1,1,53,2,1,39.2,14,0,2
1,1,37,2,3,37.6,17,0,2
2,1,87,1,1,32,.i,6,1
1,1,30,2,1,62.1,17,1,2
2,1,76,1,1,53.6,.i,7,1
1,1,30,2,2,24.2,3,0,1
2,1,38,1,0,24.6,.i,6,1
.i,2,45,1,2,20.7,10,3,2
2,1,25,1,1,27.6,16,2,1
2,1,49,1,1,12.6,12,6,2
2,1,36,1,1,37.8,11,6,2
1,1,49,1,1,31.9,18,0,1
2,1,57,1,1,43.9,.i,5,2
.i,2,26,1,1,23.3,.i,2,1
.i,2,20,1,0,22.4,2,0,2
2,1,42,1,2,24.6,13,6,2
.i,2,35,1,1,69.3,20,3,1
.i,2,63,1,1,38.8,.i,3,1
.i,2,51,1,1,36.2,12,2,1
2,1,50,1,2,28.7,.i,3,1
.i,2,51,1,0,25,.i,3,2
1,1,67,1,1,46.6,1,1,2
.i,2,29,1,3,84.2,15,3,1
1,1,30,1,3,82.5,18,2,1
.i,2,27,1,1,31.2,.i,4,1
1,1,66,1,1,23.3,1,2,1
.i,3,19,1,0,21.6,1,3,2
.i,2,67,1,0,20.8,.i,2,2
.n,1,55,1,1,43,.i,6,2
2,1,31,1,3,38.8,17,4,2
1,1,39,2,1,25.7,.i,2,2
1,1,31,2,1,24.2,1,2,2
1,1,45,2,1,14,.i,0,1
1,1,51,2,1,21.5,2,0,1
.i,2,72,2,0,.i,.i,3,2
.n,1,41,1,1,24.2,.a,3,2
1,1,52,1,1,62,20,1,1
1,1,52,2,3,26.1,12,1,2
1,1,43,1,1,34.8,10,3,2
.i,2,25,1,1,71.59999999999999,.i,4,2
.i,2,39,1,2,21.6,12,1,2
1,1,25,1,1,26.9,15,3,2
2,1,29,1,3,69.3,21,5,1
1,1,73,1,1,38.8,.i,3,2
.i,3,22,3,1,37.6,.i,3,2
1,1,60,1,1,37.6,16,0,1
.i,2,26,1,4,.i,.i,3,2
.i,2,26,1,1,19.2,2,3,1
1,1,56,3,1,35.8,11,2,2
.i,2,43,1,0,62.9,.a,0,2
.i,2,56,1,1,65.3,22,3,2
.i,2,70,3,0,13.2,.i,1,2
.i,2,67,1,0,25.2,.i,2,1
.i,2,33,1,0,19.6,10,3,2
.i,2,36,1,1,20.7,.i,3,2
1,1,43,1,1,55.3,19,3,1
.i,2,32,1,1,18.6,11,3,1
.i,2,36,1,1,59.1,21,3,1
1,1,63,1,1,39.9,25,0,1
1,1,49,1,1,.i,.i,1,2
3,1,22,1,3,57.3,.i,3,1
2,1,64,1,1,23.7,18,5,2
.i,2,56,2,0,12.6,.a,3,2
3,1,53,1,3,39.7,.a,7,1
1,1,43,1,3,80.7,20,5,2
1,1,61,2,0,30.9,13,0,2
1,1,50,1,4,84.5,20,2,1
3,1,44,2,1,43.9,19,0,1
1,1,21,2,1,21.8,.i,3,2
1,1,53,1,4,62.6,21,0,1
.i,2,76,1,1,13.3,.i,0,2
1,1,62,2,4,67.8,17,1,2
1,1,60,2,1,20.9,16,0,1
2,1,29,1,4,92.09999999999999,25,6,1
.i,2,62,1,0,23.3,15,3,1
.i,2,43,1,1,23.8,13,3,2
.i,2,68,1,1,65.09999999999999,.i,1,1
2,1,50,1,1,12.6,6,6,2
.i,2,35,3,0,43.9,11,3,2
.i,3,45,1,1,38.8,.i,2,1
1,1,57,1,1,20.7,16,0,1
.i,2,26,1,1,21.8,10,2,1
1,1,64,1,1,38.8,.i,0,2
2,1,62,1,3,62.9,10,5,2
.i,2,55,1,0,28.3,15,2,1
.i,2,50,1,0,25.2,16,0,1
.i,2,50,1,2,19.6,9,3,2
